Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis
présentation,,subjid,text,Numéro d'identification du participant (PIN),,,,,,,,Le numéro d'identification du participant ou NIP est un numéro unique utilisé pour identifier les données du patient (participant).,Inscrivez le numéro d'identification du participant (PIN).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
présentation,CRITÈRES D'INCLUSION,inclu_disease,user_list,Infection suspectée ou confirmée,,,,,inclusion_Diseases,,,Il s'agit de toute infection suspectée ou confirmée.,"Si plusieurs infections sont suspectées, sélectionnez la plus probable et remplissez la section « TEST DE DÉPISTAGE DE L'AGENT PATHOGÈNE » avec la confirmation du laboratoire.",,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_reason,radio,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital ?,"1, Oui | 0, Non | 99, Inconnu",,,,,,,Il s'agit de savoir si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt est la raison (l'indication) de l'admission à l'hôpital.,Indiquez « Oui » si l'infection par l'agent pathogène concerné est suspectée ou confirmée et si elle est la raison (l'indication) de l'admission à l'hôpital. Indiquez « Non » si l'infection suspectée ou confirmée par l'agent pathogène concerné n'est pas la raison (l'indication) de l'admission à l'hôpital.,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_case,radio,Statut du cas,"1, Confirmé | 2, Probable | 3, Suspecté | 4, Écarté | 5, Erreur",,,,,,,"Confirmé désigne un cas confirmé en laboratoire et pouvant répondre aux critères cliniques décrits dans la définition de cas. Probable désigne une maladie cliniquement compatible, épidémiologiquement liée à un cas confirmé, sans confirmation en laboratoire de l'infection par l'agent pathogène d'intérêt. Suspecté désigne une maladie cliniquement compatible, sans lien épidémiologique ni confirmation en laboratoire. Rejeté désigne un patient dont le test de laboratoire est négatif et qui ne répond pas aux critères d'un cas suspect, probable ou confirmé. ",Sélectionnez l'option la plus appropriée qui correspond à l'état du cas. ,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_testreason,radio,Raison pour laquelle le patient a été testé,"1, Symptomatique | 2, Asymptomatique, contact tracé | 3, Asymptomatique, campagne de dépistage de masse | 4, Non testé",,,,,,,Il s'agit de la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,,,,,,,,,,1.0,1.0,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_testreason_otth,text,Précisez autre raison,,,,,,[inclu_testreason]='88',,Il s'agit de la raison pour laquelle le patient a subi un test de dépistage de l'agent pathogène concerné.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a subi un test de dépistage de l'agent pathogène concerné.,,,,,,,,,,1.0,1.0,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consentdes,descriptive,Consentement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent,radio,Le participant (ou son représentant) a donné son consentement pour participer à cette étude.,"1, Oui | 0, Non, le participant n'a pas accepté de participer à l'étude | 2, Non, le comité d'éthique a approuvé une dérogation au consentement | 99, Inconnu",,,,,,,Il s'agit du consentement éclairé donné par le patient ou son représentant pour participer à cette étude.,Indiquez « Oui » si le patient ou son représentant a donné son consentement éclairé pour participer à cette étude.,SNOMED,"61861000000100,  Consent (record artifact)","C5702721, Consent (record artifact)",,,,,,,,,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_date,date_dmy,Date du consentement,,date_dmy,,today,,[inclu_consent]='1',,Il s'agit de la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude.,Inscrivez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format JJ/MM/AAAA.,,,"C2985782, Informed Consent Date",,,,,,,,,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_who,radio,Consentement donné par,"1, Participant | 2, Parent/tuteur | 3, Personne consultée | 4, Clinicien indépendant ",,,,,[inclu_consent]='1',,Il s'agit de la personne qui a donné son consentement pour participer à cette étude.,Sélectionnez l'option la plus appropriée qui correspond à la personne ayant donné son consentement pour participer à cette étude.,,,,,,,,,,,,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_whopg,radio,L'enfant ou l'adolescent donne-t-il son accord ?,"1, Oui | 0, Non | 2, Incompétent",,,,,[inclu_consent_who]='2',,Il s'agit du consentement donné par un mineur ou un adulte incapable de donner son consentement de son propre chef pour participer à une étude. Le consentement doit être accompagné de l'accord d'un parent ou d'un tuteur légal pour la participation pleine et entière à l'étude.,Sélectionnez l'option la plus appropriée qui correspond à l'obtention du consentement pour participer à cette étude.,,,"C5205794, Informed Assent",,,,,,,,,,,,,,,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent2des,descriptive,"Utilisation secondaire des données collectées, le participant a accepté les déclarations suivantes :",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,
